lsoa,names,unemployment_rate,work_popu_rate,population_density,couple_household_with_dependent_children,couple_household_without_dependent_children,lone_parent_household,one_person_household,other_multi_person_household,ethnic_white,ethnic_mixed_multiple,ethnic_asian_asian_british,ethnic_black,ethnic_other,ethnic_bame,country_of_birthc_uk,country_of_birthc_nuk,religionc_christian,religionc_buddhist,religionc_hindu,religionc_jewish,religionc_muslim,religionc_sikh,religionc_other_religion,religionc_no_religion,religionc_religion_not_stated,tenurec_owned_outright,tenurec_owned_with_a_mortgage_or_loan,tenurtc_social_rented,tenurec_private_rented,dwelling_typec_household_spaces_with_at_least_one_usual_resident,dwelling_typec_household_spaces_with_no_usual_residents,dwelling_type_detached,dwelling_type_semi_detached,dwelling_type_terraced,dwelling_type_flat,house_prices,no_qualifications,level1_qualifications,level2_qualifications,apprenticeship,level3_qualifications,level4_qualifications_and_above,other_qualifications,over_18_students,health_activities_limited,health_activities_limited_a_little,health_activities_not_limited,good_health,fair_health,bad_health,nocars,1car,2cars,3cars,4+_cars,cars_per_household,transport_accessibility,household_income
E01000907,Camden 001A,9.90,67.90,10.70,12.30,20.10,21.10,33.00,13.60,73.50,7.30,8.50,7.90,2.80,26.50,72.20,27.80,39.30,1.50,0.70,1.30,8.50,0.10,0.60,32.70,15.50,12.60,18.00,54.40,13.70,99.50,0.50,2.20,4.10,15.40,78.30,415000.00,20.00,9.20,9.10,1.00,9.10,44.20,7.50,6.40,10.80,9.30,79.90,78.00,13.20,8.70,61.20,33.00,4.60,1.10,0.00,0.50,4.60,30223
E01000908,Camden 001B,8.00,67.62,17.50,11.60,17.30,13.20,50.80,7.10,72.40,8.70,6.20,8.00,4.70,27.60,70.50,29.50,38.90,1.30,0.50,2.70,4.20,0.00,1.60,27.50,23.30,14.00,17.70,52.60,14.00,95.20,4.80,1.70,9.40,3.80,85.00,282500.00,15.00,7.70,10.10,0.80,8.80,50.40,7.30,4.80,10.20,9.10,80.70,78.20,12.40,9.40,59.50,34.50,5.30,0.50,0.20,0.50,2.90,32049
E01000909,Camden 001C,4.90,66.29,22.90,17.90,29.30,7.30,30.10,15.40,84.10,5.50,4.60,2.90,2.90,15.90,74.70,25.30,37.70,0.90,0.40,5.00,2.20,0.20,1.00,34.10,18.50,38.30,21.20,18.60,18.80,97.60,2.40,11.70,21.10,9.50,57.80,435000.00,9.60,5.10,8.30,0.70,9.60,61.90,4.70,4.50,7.10,8.10,84.80,85.60,10.00,4.50,36.80,44.50,15.10,2.70,0.90,0.90,3.30,58469
E01000912,Camden 001D,8.80,69.60,89.60,12.90,16.60,15.70,38.60,16.30,77.30,5.60,5.10,9.20,2.80,22.70,70.40,29.60,37.60,0.80,0.40,1.30,10.00,0.00,0.90,31.50,17.40,15.30,14.60,51.30,15.00,98.60,1.40,1.00,1.80,10.00,87.20,500000.00,18.00,9.30,9.40,1.10,8.70,47.20,6.20,8.80,9.80,10.50,79.70,77.20,14.60,8.20,60.60,36.10,3.00,0.30,0.00,0.40,4.60,31551
E01000913,Camden 001E,2.10,62.75,161.70,19.30,34.60,3.70,29.10,13.30,88.20,5.10,4.70,1.30,0.70,11.80,72.00,28.00,37.10,0.30,0.50,12.00,0.90,0.00,0.40,27.50,21.30,47.10,27.60,1.90,19.40,89.70,10.30,27.10,12.30,15.30,45.30,1000000.00,4.90,4.90,9.60,0.40,9.40,65.20,5.50,4.00,4.10,5.50,90.40,89.60,7.30,3.10,22.30,42.80,26.70,6.00,2.20,1.20,2.80,73024
E01000893,Camden 002A,3.60,67.62,52.80,16.80,23.80,5.70,39.30,14.40,88.10,4.50,4.80,1.00,1.50,11.90,63.50,36.50,31.10,1.60,1.00,7.10,1.00,0.00,1.00,38.40,18.80,39.00,20.60,4.50,34.10,92.40,7.60,1.20,14.50,7.00,77.40,740000.00,3.70,2.40,7.10,0.70,7.50,72.60,6.10,4.10,4.00,5.70,90.30,90.20,7.00,2.70,43.80,42.20,11.60,1.50,0.80,0.80,3.20,64138
E01000894,Camden 002B,3.60,64.72,22.20,19.90,32.50,2.90,33.80,11.00,84.20,3.50,8.40,1.50,2.40,15.80,59.00,41.00,36.10,1.50,0.90,11.60,1.40,0.40,0.00,27.80,20.40,39.70,18.70,4.20,35.50,92.80,7.20,4.20,12.40,28.60,54.60,975000.00,3.00,3.70,6.50,0.20,7.50,71.30,7.80,4.10,3.40,4.90,91.70,91.10,6.80,2.10,38.60,45.10,11.80,3.60,1.00,0.80,3.90,72739
E01000895,Camden 002C,3.00,66.32,9.80,14.50,23.10,6.10,47.90,8.40,79.80,7.00,8.00,3.10,2.10,20.20,60.70,39.30,39.60,1.10,1.00,7.20,2.50,0.20,0.10,26.00,22.30,23.20,12.50,24.10,37.00,93.90,6.10,1.30,5.00,17.30,76.30,760000.00,9.50,4.60,6.00,1.00,8.40,62.10,8.30,4.80,8.10,7.20,84.70,83.30,11.50,5.20,55.30,37.50,5.50,1.40,0.40,0.50,3.90,53603
E01000896,Camden 002D,3.90,64.42,15.10,20.80,32.30,2.50,34.10,10.30,84.80,4.60,6.70,2.20,1.70,15.20,61.70,38.30,35.50,0.70,0.90,9.40,0.70,0.00,0.30,30.00,22.50,39.90,19.40,4.10,35.10,94.30,5.70,5.00,12.30,18.10,64.60,922500.00,4.70,3.50,6.60,0.40,5.40,73.60,5.80,3.90,3.90,5.30,90.80,89.80,7.20,3.00,39.70,45.00,12.40,1.70,1.20,0.80,4.40,70351
E01000899,Camden 002E,2.50,62.39,108.30,23.20,31.20,4.60,32.80,8.20,87.10,3.90,5.90,1.40,1.70,12.90,64.20,35.80,34.70,0.40,0.70,18.20,0.90,0.10,0.50,22.40,22.20,46.60,22.20,1.70,24.50,91.70,8.30,8.50,18.00,21.60,51.20,1526896.00,6.20,5.10,8.70,0.40,8.40,62.60,8.70,3.70,4.40,5.20,90.40,91.00,6.50,2.50,25.90,45.30,23.50,4.30,1.00,1.10,3.00,76166
E01000910,Camden 003A,3.90,67.32,13.00,20.10,28.10,5.60,29.40,16.80,84.20,7.00,4.20,2.90,1.70,15.80,77.50,22.50,34.00,0.70,0.10,3.30,2.60,0.20,1.10,40.60,17.50,38.30,21.60,16.50,21.40,96.10,3.90,6.70,12.40,25.00,55.90,509000.00,6.90,4.80,8.80,0.90,8.70,66.30,3.50,5.00,4.40,7.90,87.70,88.90,8.10,3.00,38.10,47.80,12.20,1.50,0.30,0.80,4.70,64961
